ppg,abp
1.0185395,88.615135
1.190192,95.17695
1.2964646,98.054436
1.3908548,103.2659
1.4387356,108.20475
1.5179608,115.44919
1.569006,117.7147
1.5871395,123.666214
1.5707947,124.41571
1.6506138,130.16537
1.5826975,135.22672
1.6432565,133.19337
1.7007805,136.44539
1.71121,136.54977
1.8523275,143.76573
1.8111017,144.22063
1.6310849,142.17062
1.6354648,136.36266
1.6187963,134.53365
1.6603154,136.57436
1.5678554,134.97603
1.6264493,136.47221
1.4372889,132.88979
1.476796,134.05591
1.553665,128.77095
1.455554,127.275925
1.3468887,125.1107
1.4719766,122.86275
1.3973947,118.09059
1.3845034,115.51005
1.4056681,112.19208
1.304626,106.2362
1.315993,109.61854
1.3580377,105.68623
1.3323479,101.10899
1.3388542,100.47368
1.2595994,94.21673
1.1324174,91.484985
1.2936373,92.31351
1.193986,83.058586
1.0619718,81.38127
1.0765252,82.16809
1.069396,76.41196
1.0338101,78.18616
0.9801334,74.65636
0.9153666,72.327896
0.879622,69.623825
0.8481802,61.456394
0.8483051,61.753345
0.76602495,57.254658
0.814359,53.892006
0.8010963,51.319523
0.8019119,46.766678
0.84649104,46.938114
0.85012835,40.27903
0.7201319,44.77122
0.82789063,40.25393
0.7490912,42.461433
0.7074262,40.0
0.6609643,40.0
0.67458594,40.0
0.5587795,40.0
0.5955513,40.0
0.5416509,40.0
0.49406624,40.0
0.48994136,41.12852
0.5209715,40.613987
0.4163756,43.305176
0.41194654,46.588474
0.6954642,47.057354
0.537522,54.412796
0.6428986,55.93036
0.7644938,62.562737
0.8795857,65.352005
0.9759202,70.115616
1.0233327,73.78461
1.1066636,81.25007
1.3104787,82.000984
1.3968558,91.70006
1.4713272,95.83548
1.6340853,101.535255
1.599831,108.04341
1.7530988,114.09839
1.7057012,115.893166
1.7781941,121.15622
1.9308006,122.881966
1.8553894,130.90208
1.8680011,130.07555
2.0076187,132.1637
1.9251523,134.93141
1.9506707,137.92567
1.9252696,139.74661
1.9708885,142.05086
1.8901539,138.94324
1.9950644,142.18835
1.8671265,140.47864
1.9031267,139.07281
1.8262475,138.58453
1.9188601,133.7591
1.737777,132.7325
1.7099812,131.80067
1.6434603,129.91052
1.6365657,123.30895
1.5922244,121.024155
1.5301644,126.02468
1.5987672,119.32516
1.4755231,114.77922
1.553276,115.78099
1.4573517,110.548676
1.4848459,109.74787
1.5071914,108.286644
1.4869416,100.177414
1.3925618,100.4554
1.4422332,96.384636
1.4143188,98.7723
1.3669971,91.62249
1.3856719,89.755974
1.3518968,83.00315
1.2825979,81.43582
1.2605526,84.47324
1.1337332,75.011086
1.1260633,71.4283
1.0573552,67.51789
0.9505154,64.512405
0.9679915,69.13081
0.8733303,57.674583
0.9213463,57.00358
1.0223721,58.520576
0.9406452,53.535374
0.9404509,54.22576
0.87123054,47.06163
0.91856676,45.00798
0.87637097,40.863182
0.9020798,40.0
0.86724496,40.0
0.8178914,40.0
0.8750955,40.0
0.8534517,40.0
0.6613711,40.0
0.64296526,40.0
0.659552,40.0
0.53196645,40.0
0.48209763,40.0
0.5432101,40.0
0.53793204,43.636566
0.52089393,42.011852
