ppg,abp
1.088767,82.5211
1.1574198,86.273544
1.1449537,87.764244
1.2211572,87.349266
1.2774907,89.11924
1.3617887,90.85216
1.4451659,91.26702
1.4529117,92.289566
1.5574169,89.51124
1.4482356,96.27722
1.6389043,97.88834
1.6064674,100.454124
1.7201735,93.12362
1.630296,100.79937
1.702304,98.29094
1.7285373,97.89929
1.777457,99.03522
1.7252973,101.351204
1.7095344,102.67484
1.7602549,103.57436
1.8126552,104.2856
1.7924268,102.95322
1.8418801,103.65422
1.7510395,102.155716
1.7372435,101.86407
1.6638615,103.8551
1.7022256,105.8074
1.6416845,102.03904
1.6616335,97.97353
1.6767343,101.86352
1.5926018,103.215645
1.6883395,104.99503
1.581828,103.23909
1.5462422,97.66094
1.5551666,100.10598
1.6174924,101.90518
1.6144204,100.13107
1.4032431,100.64498
1.5310565,98.33871
1.4357132,99.775246
1.3692936,91.58116
1.3829737,93.67106
1.4339757,94.94396
1.3758644,91.8967
1.413671,94.29198
1.4112886,90.4157
1.4009157,95.01189
1.421844,91.11876
1.3556962,92.567375
1.3078324,92.09723
1.4001923,92.17745
1.3326612,90.53499
1.3271829,90.095665
1.3667518,89.68989
1.3453308,84.78871
1.2403201,84.13456
1.3696789,88.14555
1.2768613,86.413315
1.1693664,81.01374
1.1882018,80.492065
1.2622141,79.41465
1.0995483,81.48806
1.1360315,77.77632
0.9912199,78.54472
1.0223601,76.66357
1.0396067,81.98334
0.964406,78.337776
0.9746499,77.46626
0.9997386,77.6982
0.88770795,75.238785
0.9091929,73.66157
0.98184675,72.132
0.8971921,73.45574
0.84878635,75.38524
0.9530712,71.51017
0.8352117,67.70195
0.85525906,70.9659
0.94441515,69.54372
0.7797979,66.10435
0.8200361,64.80946
0.93176526,69.132645
0.8886887,64.378296
0.8246844,67.220505
0.93607867,66.412735
0.8735912,66.53479
0.9497091,60.917706
0.78488123,64.34996
0.77644163,64.65759
0.72651756,63.739025
0.7850876,62.736057
0.79827696,62.571632
0.71394014,61.811047
0.69906867,64.91123
0.54699326,61.508785
0.52064204,59.730724
0.55016565,64.83744
0.5570693,61.853012
0.5560902,66.63465
0.59097344,65.67132
0.49927875,62.784904
0.5355946,62.198357
0.63160497,69.25774
0.5135055,65.201485
0.58277273,68.359314
0.5653649,70.65633
0.66496336,67.92776
0.814348,71.06371
0.79179054,72.78508
0.87405366,74.73133
0.94938964,75.41078
0.9242657,77.70145
1.0574381,76.89153
1.0781083,81.876564
1.18625,78.973915
1.1424704,86.787575
1.2642642,79.54037
1.3777773,82.2878
1.4188682,83.311424
1.5832769,87.84913
1.637924,85.81847
1.6292179,90.89555
1.6281644,87.16313
1.6738287,92.25546
1.7194993,96.540276
1.8288071,99.01647
1.8426389,94.323814
1.9461429,98.31652
1.8846548,96.94555
1.9879581,99.01248
1.9472662,98.71356
1.9078977,103.60872
1.9636226,100.91369
2.0042505,102.30464
1.9563546,102.92008
1.9873571,101.577515
1.926357,104.92285
1.9916159,106.44976
1.9274696,104.75466
2.01446,101.60429
1.9784683,103.24564
1.8596293,104.34476
1.8908422,102.14954
1.8973153,100.75306
1.9232074,102.75941
1.8425186,101.42958
1.8072636,100.457504
1.7218319,102.148285
1.770957,99.78787
1.7779707,101.62002
1.6453066,98.85691
1.6173228,100.504616
1.6327845,101.88745
1.6001282,98.986336
1.6450199,98.18218
1.5561329,97.13931
1.5345322,97.14526
1.4905212,94.35845
1.5430247,95.2259
1.5711774,92.42065
1.5446736,95.85029
1.4430797,91.645996
1.5215578,89.85432
1.5071286,88.961876
1.5311389,95.04809
1.3819058,93.566086
1.4021386,86.06983
1.4138111,87.82652
1.3879747,85.54115
1.4672173,87.91544
